Successfuly read failed26/ADGRA3.fas, in total 298 sequences.
Successfuly read hg38_species_name_cleaned/KRT71.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/KRT72.fas, in total 394 sequences.
Successfuly read hg38_species_name_cleaned/KRT73.fas, in total 408 sequences.
Successfuly read hg38_species_name_cleaned/KRT74.fas, in total 353 sequences.
Successfuly read hg38_species_name_cleaned/KRT75.fas, in total 396 sequences.
Successfuly read hg38_species_name_cleaned/KRT76.fas, in total 321 sequences.
Successfuly read hg38_species_name_cleaned/KRT77.fas, in total 388 sequences.
Successfuly read hg38_species_name_cleaned/KRT78.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/KRT79.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/KRT8.fas, in total 311 sequences.
Successfuly read hg38_species_name_cleaned/KRT80.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/KRT82.fas, in total 402 sequences.
Successfuly read hg38_species_name_cleaned/KRT84.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/KRT85.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/KRT9.fas, in total 301 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP1-1.fas, in total 308 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP1-3.fas, in total 307 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP1-4.fas, in total 308 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP1-5.fas, in total 322 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-1.fas, in total 219 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-10.fas, in total 195 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-11.fas, in total 218 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-12.fas, in total 244 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-2.fas, in total 187 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-3.fas, in total 237 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-4.fas, in total 164 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-5.fas, in total 149 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-6.fas, in total 117 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-7.fas, in total 209 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-8.fas, in total 191 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP10-9.fas, in total 153 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP11-1.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP12-2.fas, in total 234 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP13-1.fas, in total 383 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP13-2.fas, in total 357 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP13-3.fas, in total 336 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP13-4.fas, in total 375 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP15-1.fas, in total 403 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP16-1.fas, in total 337 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP17-1.fas, in total 377 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP19-1.fas, in total 381 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP19-2.fas, in total 372 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP19-4.fas, in total 348 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP19-5.fas, in total 391 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP19-6.fas, in total 234 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP19-7.fas, in total 373 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP19-8.fas, in total 212 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP2-1.fas, in total 259 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP2-3.fas, in total 252 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP2-4.fas, in total 250 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP20-2.fas, in total 245 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP20-3.fas, in total 291 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP20-4.fas, in total 208 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP21-3.fas, in total 255 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP23-1.fas, in total 260 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP24-1.fas, in total 401 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP25-1.fas, in total 184 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP26-1.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP27-1.fas, in total 380 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP29-1.fas, in total 376 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP3-1.fas, in total 403 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP3-2.fas, in total 344 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP3-3.fas, in total 334 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP4-16.fas, in total 114 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP4-6.fas, in total 233 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP4-8.fas, in total 190 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP4-9.fas, in total 144 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP5-1.fas, in total 64 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP5-10.fas, in total 114 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP5-2.fas, in total 128 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP5-3.fas, in total 127 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP5-4.fas, in total 107 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP5-5.fas, in total 98 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP5-6.fas, in total 78 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP5-7.fas, in total 87 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP5-8.fas, in total 75 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP5-9.fas, in total 85 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP7-1.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP8-1.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/KRTAP9-1.fas, in total 154 sequences.
Successfuly read hg38_species_name_cleaned/KRTCAP2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/KRTCAP3.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/KRTDAP.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/KSR1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/KSR2.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/KTI12.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/KTN1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/KXD1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/KY.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/KYAT1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/KYAT3.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/KYNU.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/L1CAM.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/L1TD1.fas, in total 152 sequences.
Successfuly read hg38_species_name_cleaned/L2HGDH.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/L3HYPDH.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/L3MBTL1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/L3MBTL2.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/L3MBTL3.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/L3MBTL4.fas, in total 304 sequences.
Successfuly read hg38_species_name_cleaned/LACC1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LACRT.fas, in total 334 sequences.
Successfuly read hg38_species_name_cleaned/LACTB.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LACTB2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LACTBL1.fas, in total 363 sequences.
Successfuly read hg38_species_name_cleaned/LAD1.fas, in total 381 sequences.
Successfuly read hg38_species_name_cleaned/LAG3.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/LALBA.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/LAMA1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/LAMA2.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LAMA3.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LAMA4.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LAMA5.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/LAMB1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/LAMB2.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/LAMB3.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/LAMB4.fas, in total 268 sequences.
Successfuly read hg38_species_name_cleaned/LAMC1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/LAMC2.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/LAMC3.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/LAMP1.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/LAMP2.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/LAMP3.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/LAMP5.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/LAMTOR1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LAMTOR2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LAMTOR3.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LAMTOR4.fas, in total 298 sequences.
Successfuly read hg38_species_name_cleaned/LAMTOR5.fas, in total 305 sequences.
Successfuly read hg38_species_name_cleaned/LANCL1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/LANCL2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LANCL3.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/LAP3.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/LAPTM4A.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/LAPTM4B.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/LAPTM5.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LARGE1.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LARGE2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LARP1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LARP1B.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/LARP4.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LARP4B.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LARP6.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/LARP7.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/LARS1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LARS2.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/LAS1L.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/LASP1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LAT.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LAT2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LATS1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LATS2.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/LAX1.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/LAYN.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LBH.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LBHD1.fas, in total 348 sequences.
Successfuly read hg38_species_name_cleaned/LBHD2.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/LBP.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LBR.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LBX1.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/LBX2.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/LCA5.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LCA5L.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/LCAT.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/LCE5A.fas, in total 362 sequences.
Successfuly read hg38_species_name_cleaned/LCE6A.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/LCK.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/LCLAT1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/LCMT1.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/LCMT2.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/LCN10.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/LCN12.fas, in total 371 sequences.
Successfuly read hg38_species_name_cleaned/LCN15.fas, in total 331 sequences.
Successfuly read hg38_species_name_cleaned/LCN2.fas, in total 296 sequences.
Successfuly read hg38_species_name_cleaned/LCN6.fas, in total 395 sequences.
Successfuly read hg38_species_name_cleaned/LCN8.fas, in total 367 sequences.
Successfuly read hg38_species_name_cleaned/LCN9.fas, in total 365 sequences.
Successfuly read hg38_species_name_cleaned/LCNL1.fas, in total 260 sequences.
Successfuly read hg38_species_name_cleaned/LCP1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/LCP2.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/LCT.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/LCTL.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LDAH.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LDB1.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/LDB2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/LDB3.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LDHA.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/LDHAL6A.fas, in total 90 sequences.
Successfuly read hg38_species_name_cleaned/LDHAL6B.fas, in total 41 sequences.
Successfuly read hg38_species_name_cleaned/LDHB.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LDHC.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/LDHD.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LDLR.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/LDLRAD1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LDLRAD2.fas, in total 357 sequences.
Successfuly read hg38_species_name_cleaned/LDLRAD3.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LDLRAD4.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/LDLRAP1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/LDOC1.fas, in total 394 sequences.
Successfuly read hg38_species_name_cleaned/LEAP2.fas, in total 442 sequences.
Successfuly read hg38_species_name_cleaned/LECT2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/LEF1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LEFTY1.fas, in total 345 sequences.
Successfuly read hg38_species_name_cleaned/LEFTY2.fas, in total 355 sequences.
Successfuly read hg38_species_name_cleaned/LEKR1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LELP1.fas, in total 396 sequences.
Successfuly read hg38_species_name_cleaned/LEMD1.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/LEMD2.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/LEMD3.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/LENEP.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/LENG1.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LENG8.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/LENG9.fas, in total 267 sequences.
Successfuly read hg38_species_name_cleaned/LEO1.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/LEP.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LEPR.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/LEPROT.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LEPROTL1.fas, in total 340 sequences.
Successfuly read hg38_species_name_cleaned/LETM1.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/LETM2.fas, in total 401 sequences.
Successfuly read hg38_species_name_cleaned/LETMD1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/LEUTX.fas, in total 315 sequences.
Successfuly read hg38_species_name_cleaned/LEXM.fas, in total 405 sequences.
Successfuly read hg38_species_name_cleaned/LFNG.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/LGALS1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/LGALS12.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/LGALS2.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/LGALS3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LGALS3BP.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/LGALS4.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LGALS8.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/LGALS9B.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/LGALS9C.fas, in total 405 sequences.
Successfuly read hg38_species_name_cleaned/LGALSL.fas, in total 440 sequences.
Successfuly read hg38_species_name_cleaned/LGI1.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/LGI2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LGI3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LGI4.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LGMN.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/LGR4.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LGR5.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/LGR6.fas, in total 385 sequences.
Successfuly read hg38_species_name_cleaned/LGSN.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/LHB.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/LHCGR.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/LHFPL1.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/LHFPL2.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/LHFPL3.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/LHFPL4.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/LHFPL5.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LHFPL6.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LHPP.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/LHX1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LHX2.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/LHX3.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/LHX4.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LHX5.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/LHX6.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/LHX8.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LHX9.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LIAS.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LIF.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/LIFR.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LIG1.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/LIG3.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/LIG4.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/LIM2.fas, in total 360 sequences.
Successfuly read hg38_species_name_cleaned/LIMA1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LIMCH1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LIMD1.fas, in total 402 sequences.
Successfuly read hg38_species_name_cleaned/LIMD2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LIME1.fas, in total 400 sequences.
Successfuly read hg38_species_name_cleaned/LIMK1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/LIMK2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/LIMS1.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/LIMS2.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LIMS3.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/LIMS4.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LIN28A.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/LIN28B.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/LIN37.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/LIN52.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/LIN54.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LIN7A.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LIN7B.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/LIN7C.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LIN9.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LINC00514.fas, in total 354 sequences.
Successfuly read hg38_species_name_cleaned/LINC00634.fas, in total 159 sequences.
Successfuly read hg38_species_name_cleaned/LINC02218.fas, in total 191 sequences.
Successfuly read hg38_species_name_cleaned/LINGO1.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/LINGO2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LINGO3.fas, in total 343 sequences.
Successfuly read hg38_species_name_cleaned/LINGO4.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/LINS1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LIPA.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LIPC.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/LIPE.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/LIPF.fas, in total 366 sequences.
Successfuly read hg38_species_name_cleaned/LIPG.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LIPH.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LIPI.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/LIPJ.fas, in total 327 sequences.
Successfuly read hg38_species_name_cleaned/LIPK.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/LIPM.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LIPN.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LIPT1.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LIPT2.fas, in total 390 sequences.
Successfuly read hg38_species_name_cleaned/LITAF.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LITAFD.fas, in total 393 sequences.
Successfuly read hg38_species_name_cleaned/LIX1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LIX1L.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LKAAEAR1.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/LL0XNC01-30I4.fas, in total 406 sequences.
Successfuly read hg38_species_name_cleaned/LLCFC1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LLGL1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LLGL2.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/LLPH.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/LMAN1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LMAN1L.fas, in total 379 sequences.
Successfuly read hg38_species_name_cleaned/LMAN2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/LMAN2L.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/LMBR1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/LMBR1L.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LMBRD1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LMBRD2.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LMCD1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/LMF1.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/LMF2.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/LMLN.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LMLN2.fas, in total 309 sequences.
Successfuly read hg38_species_name_cleaned/LMNA.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/LMNB1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LMNB2.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/LMNTD1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LMNTD2.fas, in total 392 sequences.
Successfuly read hg38_species_name_cleaned/LMO1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/LMO2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LMO3.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/LMO4.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/LMO7.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/LMOD1.fas, in total 377 sequences.
Successfuly read hg38_species_name_cleaned/LMOD2.fas, in total 356 sequences.
Successfuly read hg38_species_name_cleaned/LMOD3.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/LMTK2.fas, in total 398 sequences.
Successfuly read hg38_species_name_cleaned/LMTK3.fas, in total 272 sequences.
Successfuly read hg38_species_name_cleaned/LMX1A.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/LMX1B.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/LNP1.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/LNPEP.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/LNPK.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/LNX1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/LNX2.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/LONP1.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/LONP2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/LONRF1.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LONRF2.fas, in total 285 sequences.
Successfuly read hg38_species_name_cleaned/LONRF3.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/LORICRIN.fas, in total 190 sequences.
Successfuly read hg38_species_name_cleaned/LOX.fas, in total 386 sequences.
Successfuly read hg38_species_name_cleaned/LOXHD1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/LOXL1.fas, in total 384 sequences.
Successfuly read hg38_species_name_cleaned/LOXL2.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/LOXL3.fas, in total 434 sequences.
